shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237740.03237740,49.2391441,6.9797631,5
237740.03237740,49.2393151,6.9747373,6
237740.03237740,49.2336659,6.9737619,7
237740.04237740,49.2433789,7.0118103,0
237740.04237740,49.2401746,7.0000431,1
237740.04237740,49.2385384,6.9979364,2
237740.04237740,49.2402327,6.9898115,3
237740.04237740,49.2402489,6.9845333,4
237740.04237740,49.2391441,6.9797631,5
237740.04237740,49.2393151,6.9747373,6
237740.04237740,49.2336659,6.9737619,7
237740.05237740,49.2433789,7.0118103,0
237740.05237740,49.2401746,7.0000431,1
237740.05237740,49.2385384,6.9979364,2
237740.05237740,49.2402327,6.9898115,3
237740.05237740,49.2402489,6.9845333,4
237740.05237740,49.2391441,6.9797631,5
237740.05237740,49.2393151,6.9747373,6
237740.05237740,49.2336659,6.9737619,7
237740.06237740,49.2433789,7.0118103,0
237740.06237740,49.2401746,7.0000431,1
237740.06237740,49.2385384,6.9979364,2
237740.06237740,49.2402327,6.9898115,3
237740.06237740,49.2402489,6.9845333,4
237740.06237740,49.2391441,6.9797631,5
237740.06237740,49.2393151,6.9747373,6
237740.06237740,49.2336659,6.9737619,7
237740.07237740,49.2433789,7.0118103,0
237740.07237740,49.2401746,7.0000431,1
237740.07237740,49.2385384,6.9979364,2
237740.07237740,49.2402327,6.9898115,3
237740.07237740,49.2402489,6.9845333,4
237740.07237740,49.2391441,6.9797631,5
237740.07237740,49.2393151,6.9747373,6
237740.07237740,49.2336659,6.9737619,7
237740.08237740,49.2433789,7.0118103,0
237740.08237740,49.2401746,7.0000431,1
237740.08237740,49.2385384,6.9979364,2
237740.08237740,49.2402327,6.9898115,3
237740.08237740,49.2402489,6.9845333,4
237740.08237740,49.2391441,6.9797631,5
237740.08237740,49.2393151,6.9747373,6
237740.08237740,49.2336659,6.9737619,7
237740.09237740,49.2433789,7.0118103,0
237740.09237740,49.2401746,7.0000431,1
237740.09237740,49.2385384,6.9979364,2
237740.09237740,49.2402327,6.9898115,3
237740.09237740,49.2402489,6.9845333,4
